QUOTE_UNIXTIME,QUOTE_READTIME,QUOTE_DATE,QUOTE_TIME_HOURS,UNDERLYING_LAST,EXPIRE_DATE,EXPIRE_UNIX,DTE,C_DELTA,C_GAMMA,C_VEGA,C_THETA,C_RHO,C_IV,C_VOLUME,C_LAST,C_SIZE,C_BID,C_ASK,STRIKE,P_BID,P_ASK,P_SIZE,P_LAST,P_DELTA,P_GAMMA,P_VEGA,P_THETA,P_RHO,P_IV,P_VOLUME,STRIKE_DISTANCE,STRIKE_DISTANCE_PCT,time,distance,ATM_IV
1583505010,2020-03-06 09:30,2020-03-06,9.5,292.97,2020-03-06,1583528400,0.27,0.44936,0.0461,0.05825,-3.05014,0.0022,0.63459,0.0,10.25,60 x 60,2.94,3.16,293.0,3.0,3.27,55 x 50,3.0,-0.65185,0.07393,0.05638,-3.1204,-0.00557,0.32198,2.0,0.0,0.0,2020-03-06 14:30:10,0.029999999999972715,0.47828499999999996
1583505300,2020-03-06 09:35,2020-03-06,9.58333,293.03,2020-03-06,1583528400,0.27,0.45147,0.04651,0.05876,-3.02014,0.00247,0.63035,0.0,10.25,60 x 60,2.94,3.16,293.0,3.0,3.29,55 x 50,3.0,-0.64601,0.07311,0.05635,-3.14009,-0.00548,0.32799,2.0,0.0,0.0,2020-03-06 14:35:00,0.029999999999972715,0.47917
1583505600,2020-03-06 09:40,2020-03-06,9.66667,294.37,2020-03-06,1583528400,0.26,0.46624,0.04993,0.05847,-2.66483,0.00216,0.59915,982.0,3.13,158 x 40,2.99,3.09,294.0,2.6,2.73,81 x 50,2.78,-0.64267,0.08579,0.05687,-2.65456,-0.005,0.27916,614.0,0.4,0.001,2020-03-06 14:40:00,0.37000000000000455,0.43915499999999996
1583505900,2020-03-06 09:45,2020-03-06,9.75,293.69,2020-03-09,1583784000,3.22,0.48263,0.02555,0.12178,-0.74407,0.01422,0.51576,356.0,5.66,10 x 183,5.72,5.8,294.0,5.62,5.71,25 x 82,5.64,-0.5277,0.03134,0.12201,-0.79093,-0.0181,0.41102,141.0,0.3,0.001,2020-03-06 14:45:00,0.3100000000000023,0.46338999999999997
1583506200,2020-03-06 09:50,2020-03-06,9.83333,292.58,2020-03-06,1583528400,0.26,0.45476,0.04571,0.0586,-3.05963,0.00266,0.64323,125.0,3.14,90 x 40,3.11,3.17,292.5,2.87,2.94,50 x 2,2.88,-0.65953,0.0808,0.05502,-2.90479,-0.00498,0.29242,283.0,0.1,0.0,2020-03-06 14:50:00,0.07999999999998408,0.467825
1583506500,2020-03-06 09:55,2020-03-06,9.91667,292.38,2020-03-06,1583528400,0.25,0.43987,0.05242,0.05818,-2.61508,0.00265,0.5682,250.0,2.65,198 x 25,2.57,2.66,292.5,3.38,3.52,95 x 65,3.54,-0.6399,0.06613,0.0568,-3.3253,-0.00514,0.36597,569.0,0.1,0.0,2020-03-06 14:55:00,0.12000000000000455,0.46708500000000003
1583506800,2020-03-06 10:00,2020-03-06,10.0,293.37,2020-03-09,1583784000,3.21,0.49955,0.02629,0.12215,-0.72042,0.01428,0.50364,512.0,5.97,9 x 1,5.87,5.97,293.0,5.57,5.72,95 x 25,5.72,-0.50516,0.02947,0.12187,-0.83261,-0.01689,0.43969,799.0,0.4,0.001,2020-03-06 15:00:00,0.37000000000000455,0.471665
1583507100,2020-03-06 10:05,2020-03-06,10.08333,293.36,2020-03-09,1583784000,3.2,0.4992,0.02631,0.12231,-0.7223,0.01376,0.5043,512.0,5.97,9 x 1,5.86,5.97,293.0,5.57,5.73,95 x 25,5.72,-0.50555,0.02953,0.12171,-0.83072,-0.01662,0.4392,799.0,0.4,0.001,2020-03-06 15:05:00,0.36000000000001364,0.47175
1583507400,2020-03-06 10:10,2020-03-06,10.16667,292.93,2020-03-09,1583784000,3.2,0.48881,0.02563,0.12211,-0.74229,0.01361,0.51677,595.0,5.81,65 x 162,5.8,5.93,293.0,5.61,5.71,115 x 82,5.52,-0.51911,0.03067,0.12166,-0.80576,-0.01758,0.42329,915.0,0.1,0.0,2020-03-06 15:10:00,0.06999999999999318,0.47002999999999995
1583507700,2020-03-06 10:15,2020-03-06,10.25,293.76,2020-03-11,1583956800,5.2,0.49442,0.02007,0.14937,-0.63569,0.02101,0.5338,136.0,7.5,1 x 133,7.49,7.58,294.0,7.59,7.7,98 x 126,7.73,-0.50952,0.02228,0.15009,-0.68641,-0.02633,0.47415,465.0,0.2,0.001,2020-03-06 15:15:00,0.2400000000000091,0.5039750000000001
1583508000,2020-03-06 10:20,2020-03-06,10.33333,293.82,2020-03-11,1583956800,5.19,0.49655,0.01974,0.14973,-0.6485,0.02162,0.54355,139.0,7.69,48 x 105,7.65,7.75,294.0,7.18,7.27,50 x 96,7.22,-0.50955,0.02353,0.14942,-0.65339,-0.02552,0.44826,492.0,0.2,0.001,2020-03-06 15:20:00,0.18000000000000682,0.495905
1583508300,2020-03-06 10:25,2020-03-06,10.41667,294.47,2020-03-11,1583956800,5.19,0.50767,0.02049,0.15038,-0.62246,0.02185,0.52437,158.0,7.67,50 x 101,7.7,7.76,294.0,7.24,7.32,50 x 50,7.22,-0.49425,0.02226,0.14975,-0.6851,-0.02555,0.47388,492.0,0.5,0.002,2020-03-06 15:25:00,0.4700000000000273,0.49912500000000004
1583508600,2020-03-06 10:30,2020-03-06,10.5,296.38,2020-03-09,1583784000,3.19,0.49817,0.0295,0.12331,-0.63324,0.01454,0.44632,572.0,5.22,50 x 50,5.22,5.33,296.0,5.15,5.22,174 x 1,5.24,-0.5066,0.03213,0.12295,-0.77379,-0.01705,0.39886,355.0,0.4,0.001,2020-03-06 15:30:00,0.37999999999999545,0.42259
1583508900,2020-03-06 10:35,2020-03-06,10.58333,296.38,2020-03-09,1583784000,3.18,0.49774,0.02956,0.12296,-0.63406,0.01429,0.44582,572.0,5.22,50 x 50,5.22,5.33,296.0,5.16,5.23,174 x 1,5.24,-0.50722,0.03215,0.12284,-0.77308,-0.017,0.39928,355.0,0.4,0.001,2020-03-06 15:35:00,0.37999999999999545,0.42255
1583509200,2020-03-06 10:40,2020-03-06,10.66667,296.74,2020-03-11,1583956800,5.18,0.491,0.02183,0.15163,-0.57947,0.02151,0.48635,115.0,6.73,50 x 50,6.83,6.9,297.0,7.09,7.21,1 x 24,7.71,-0.51281,0.024,0.1516,-0.64263,-0.02634,0.43555,130.0,0.3,0.001,2020-03-06 15:40:00,0.2599999999999909,0.46094999999999997
1583509500,2020-03-06 10:45,2020-03-06,10.75,297.19,2020-03-11,1583956800,5.18,0.50062,0.02228,0.15147,-0.56551,0.02134,0.47562,118.0,6.87,3 x 48,6.88,6.98,297.0,6.66,6.8,1 x 1,6.79,-0.50279,0.02466,0.15191,-0.62617,-0.02544,0.42397,134.0,0.2,0.001,2020-03-06 15:45:00,0.18999999999999773,0.449795
1583509800,2020-03-06 10:50,2020-03-06,10.83333,297.73,2020-03-06,1583528400,0.22,0.45557,0.05646,0.05889,-2.38505,0.00202,0.53289,896.0,2.65,87 x 42,2.59,2.66,297.5,2.4,2.49,87 x 50,2.82,-0.69711,0.1015,0.05352,-2.44085,-0.0057,0.21741,479.0,0.2,0.001,2020-03-06 15:50:00,0.2300000000000182,0.37515
1583510100,2020-03-06 10:55,2020-03-06,10.91667,297.33,2020-03-06,1583528400,0.21,0.43481,0.05441,0.05877,-2.48014,0.00215,0.54094,988.0,2.36,10 x 21,2.45,2.53,297.5,2.52,2.61,50 x 22,2.68,-0.77142,0.10281,0.04623,-2.40035,-0.00641,0.18494,558.0,0.2,0.001,2020-03-06 15:55:00,0.17000000000001592,0.36294
1583510400,2020-03-06 11:00,2020-03-06,11.0,297.21,2020-03-11,1583956800,5.17,0.50013,0.02246,0.15131,-0.56131,0.02211,0.47218,146.0,6.73,103 x 200,6.84,6.94,297.0,7.01,7.11,50 x 1,6.84,-0.50143,0.02342,0.15201,-0.65508,-0.02565,0.44565,196.0,0.2,0.001,2020-03-06 16:00:00,0.20999999999997954,0.45891499999999996
1583510700,2020-03-06 11:05,2020-03-06,11.08333,297.17,2020-03-11,1583956800,5.16,0.49973,0.02244,0.15159,-0.56195,0.02188,0.47305,146.0,6.73,103 x 200,6.84,6.94,297.0,7.01,7.1,50 x 1,6.84,-0.50188,0.02353,0.15108,-0.65438,-0.02587,0.44491,196.0,0.2,0.001,2020-03-06 16:05:00,0.17000000000001592,0.45898000000000005
1583511000,2020-03-06 11:10,2020-03-06,11.16667,295.62,2020-03-11,1583956800,5.16,0.48907,0.02123,0.15053,-0.59871,0.02152,0.50248,174.0,7.31,1 x 25,7.0,7.06,296.0,7.37,7.42,208 x 1,7.4,-0.51485,0.02332,0.15033,-0.65885,-0.02584,0.44999,509.0,0.4,0.001,2020-03-06 16:10:00,0.37999999999999545,0.476235
1583511300,2020-03-06 11:15,2020-03-06,11.25,295.18,2020-03-11,1583956800,5.16,0.50142,0.02069,0.1501,-0.61853,0.02173,0.5183,386.0,7.76,243 x 24,7.48,7.55,295.0,7.09,7.17,50 x 17,7.1,-0.50132,0.02326,0.15043,-0.65989,-0.02538,0.45257,599.0,0.2,0.001,2020-03-06 16:15:00,0.18000000000000682,0.48543499999999995
